,Name,Gender,DOB,Occupation,Block/Village,District/city,State,PIN,NomineeName,NomineeRelation,NomineeAge,PolicyId,Insurer,Typeofcover,EffectiveDate,ExpiryDate,PremiumRate,PremiumMode,PolicyName,InsuranceCompany
0,Abhishek Dubey,Male,12/7/1981,prof-specialty,jiwati,Bhopal,Madhya Pradesh,835227,noone,handlers-cleaners,32,0,Ankit,life insurance for one person,3/28/2003,7/7/2020,6%,offline,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
1,JEEVAN ARRA,Male,7/14/1979,protective-serv,khalapur,Mumbai,Maharashtra,825316,noone,priv-house-serv,34,1,Rahul,life insurance for one person,5/6/2014,7/7/2020,5%,offline,Pru Signature,ICICI Prudential Life Insurance Co. Ltd
2,PRABITH A,Male,10/23/1987,prof-specialty,parner,Kozhikode,Kerala,502331,noone,tech-support,32,2,Ajay,life insurance for one person,12/31/2012,7/7/2020,7.5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
3,Prathibha Annam,female,3/6/1986,machine-op-inspct,albatia,Chennai,Andhra Pradesh,192123,noone,transport-moving,34,3,Praveen,life insurance for one person,3/4/2006,7/7/2020,6%,offline,Life Uday,Life Insurance Corporation of India
4,Shanmuga Sundar,Male,4/27/1987,sales,Amgaon,Madurai,Tamil Nadu,679357,noone,machine-op-inspct,34,4,Praveen,life insurance for one person,12/17/2003,7/7/2020,6%,online,Term Insurance,HDFC Life Insurance Co. Ltd
5,arun chauhan,Male,8/30/1985,adm-clerical,banda,bhind,Madhya Pradesh,344001,noone,armed-forces,26,5,Rahul,life insurance for one person,2/8/1990,7/7/2020,7.5%,offline,sanchay,Max Life Insurance Co. Ltd.
6,Jaysree Annamal,female,4/14/1967,sales,mahoba,Chennai,Tamil Nadu,385545,noone,handlers-cleaners,30,6,Ankit,life insurance for one person,12/28/1998,7/7/2020,7.5%,online,Term Insurance,Life Insurance Corporation of India
7,MANISH ANSINGKA,Male,4/30/1975,machine-op-inspct,bhokar,Pune,Maharashtra,441209,noone,handlers-cleaners,53,7,Ankit,life insurance for one person,7/9/2001,7/7/2020,7.5%,online,term insurance with return,Max Life Insurance Co. Ltd.
8,Rama Krishna Re,Male,8/6/1978,priv-house-serv,sonha,Chennai,Tamil Nadu,700071,noone,adm-clerical,26,8,Ajay,life insurance for one person,10/18/2005,7/7/2020,5%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
9,Sandeep Ambati,Male,7/31/1982,sales,dehtora,Anantapur,Andhra Pradesh,224231,noone,tech-support,48,9,Ankit,life insurance for one person,7/22/2004,7/7/2020,6%,online,term insurance with return,ICICI Prudential Life Insurance Co. Ltd
10,SIVA KUMAR,Male,7/28/1976,machine-op-inspct,Amgaon,Chennai,Tamil Nadu,508114,noone,farming-fishing,31,10,Ankit,life insurance for one person,5/21/2010,7/7/2020,5%,offline,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
